Order_ID,Customer_ID,Order_Date,Region,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount
ORD-107587,CUST-0917,2025-05-06,Québec,Téléphone,Électronique,Clavier,1,528.98,0.05
ORD-102069,CUST-0560,2025-09-30,Québec,En ligne,Électronique,Souris,2,537.07,0.1
ORD-107621,CUST-0143,2025-09-01,Ontario,Magasin,Vêtements,T-shirt,2,290.7,0.0
ORD-102063,CUST-0923,2025-03-21,Ontario,Magasin,Beauté,Soin visage,1,142.72,0.0
ORD-107733,CUST-0024,2024-08-28,Québec,Magasin,Sports,Ballon,5,687.45,0.05
ORD-103437,CUST-0678,2025-09-09,Alberta,Magasin,Sports,Raquette,2,44.7,0.1
ORD-106125,CUST-0790,2024-06-05,Colombie-Britannique,En ligne,Vêtements,Veste,3,216.01,0.05
ORD-105100,,2024-08-12,Ontario,En ligne,Maison,Cafetière,2,164.92,0.0
ORD-105499,CUST-1132,2025-06-11,Alberta,Téléphone,Électronique,Souris,1,73.38,0.0
ORD-104522,CUST-0108,2025-03-14,Alberta,Magasin,Sports,Vélo,1,365.55,0.0
ORD-100315,CUST-1462,2024-04-16,Ontario,Téléphone,Électronique,Casque audio,2,599.23,0.15
ORD-106178,CUST-0279,2025-11-28,Québec,Magasin,Vêtements,Jean,1,224.01,0.0
ORD-106304,CUST-0041,2024-03-04,Ontario,En ligne,Sports,Ballon,3,269.67,0.15
ORD-100457,CUST-1206,2025-07-03,Alberta,Téléphone,Beauté,Soin visage,3,212.77,0.0
ORD-100538,CUST-0221,2025-06-17,Colombie-Britannique,Téléphone,Vêtements,Manteau,1,243.81,0.0
ORD-105309,CUST-1122,2024-09-26,Québec,En ligne,Beauté,Shampoing,2,85.32,0.0
ORD-106475,CUST-1244,2025-12-19,Colombie-Britannique,Téléphone,Beauté,Soin visage,2,133.81,0.0
ORD-101056,CUST-0271,2024-02-29,Alberta,Téléphone,Maison,Chaise,1,165.55,0.1
ORD-107548,CUST-0953,2027-01-15,Colombie-Britannique,Magasin,Beauté,Parfum,2,86.99,0.1
ORD-106515,CUST-1020,2025-04-10,Alberta,En ligne,Beauté,Soin visage,2,173.08,0.05
ORD-105176,CUST-0237,2024-11-02,Ontario,Magasin,Électronique,Clavier,2,386.75,0.1
